lan,is--lan,name
riket,TRUE,Riket
stockholms_lan,TRUE,Stockholms län
uppsala_lan,TRUE,Uppsala län
sodermansland_lan,TRUE,Södermanlands län
ostergotlands_lan,TRUE,Östergötlands län
jonkopings_lan,TRUE,Jönköpings län
kronobergs_lan,TRUE,Kronobergs län
kalmar_lan,TRUE,Kalmar län
gotlands_lan,TRUE,Gotlands län
blekinge_lan,TRUE,Blekinge län
skane_lan,TRUE,Skåne län
hallands_lan,TRUE,Hallands län
v_gotaland_lan,TRUE,Västra Götalands län
varmlands_lan,TRUE,Värmlands län
orebro_lan,TRUE,Örebro län
vastmanlands_lan,TRUE,Västmanlands län
dalarna_lan,TRUE,Dalarnas län
gavleborg_lan,TRUE,Gävleborgs län
vasternorrlands_lan,TRUE,Västernorrlands län
jamtlands_lan,TRUE,Jämtlands län
vasterbottens_lan,TRUE,Västerbottens län
norrbottens_lan,TRUE,Norrbottens län
extra_region,TRUE,Extra-region
n_norrland,TRUE,Norra Norrland
s_norrland,TRUE,Södra Norrland
svealand,TRUE,Svealand
gotaland,TRUE,Götaland
